"","STATE","COUNTY","CTYNAME","STNAME","pop09","pop19","pop29","pop39","pop49","pop59","pop69","pop79","pop89"
"230","06","087","Santa Cruz County","California",27904,37536,44647,31669,31657,34345,35316,20507,9632
"231","06","089","Shasta County","California",21478,21149,21365,22750,19086,23285,25214,17255,8498
"232","06","091","Sierra County","California",261,274,220,260,312,430,597,457,194
"233","06","093","Siskiyou County","California",4647,5000,4245,4759,4298,5412,7628,5289,2261
"234","06","095","Solano County","California",54196,54152,61400,63460,53595,58545,53945,32328,16022
"235","06","097","Sonoma County","California",50128,57452,58588,64086,59627,66834,69248,45636,22737
"236","06","099","Stanislaus County","California",80483,82515,77627,76373,65768,64615,53609,32302,17368
"237","06","101","Sutter County","California",13452,13848,13080,12795,11297,11810,10107,6655,3927
"238","06","103","Tehama County","California",8278,8591,7621,7723,7027,8669,8275,5822,3078
"239","06","105","Trinity County","California",1145,1155,1048,1174,1304,1767,2474,1555,663
"240","06","107","Tulare County","California",77238,78877,67473,63403,53876,49167,39755,23873,12533
"241","06","109","Tuolumne County","California",4958,5141,5924,6399,5731,6911,9410,6621,3383
"242","06","111","Ventura County","California",101333,111298,115256,108796,104909,114057,97210,59435,33712
"243","06","113","Yolo County","California",24615,35119,46738,27649,23868,23061,20236,12239,6975
"244","06","115","Yuba County","California",12346,11155,11688,11623,8541,8701,8013,4569,2032
"245","08","001","Adams County","Colorado",73188,74744,74473,84522,68854,59806,46378,24046,11410
"246","08","003","Alamosa County","Colorado",2218,2549,2925,2073,1626,1698,1653,1004,487
"247","08","005","Arapahoe County","Colorado",82092,84873,90848,102219,89076,80726,69604,38306,18846
"248","08","007","Archuleta County","Colorado",1326,1382,1163,1490,1482,1983,2857,1771,575
"249","08","009","Baca County","Colorado",430,446,364,387,355,434,529,363,273
"250","08","011","Bent County","Colorado",428,524,901,832,795,689,658,475,275
"251","08","013","Boulder County","Colorado",30853,44495,57769,42145,41512,40964,37190,20848,10420
"252","08","014","Broomfield County","Colorado",7773,9311,9648,10486,10400,8759,7348,4457,2283
"253","08","015","Chaffee County","Colorado",1597,1762,2175,2656,2413,2712,3629,2347,1065
"254","08","017","Cheyenne County","Colorado",270,226,184,213,186,238,262,143,109
"255","08","019","Clear Creek County","Colorado",780,831,850,1240,1324,1621,1787,972,295
"256","08","021","Conejos County","Colorado",1102,1202,940,902,831,1004,1132,717,375
"257","08","023","Costilla County","Colorado",386,434,370,402,349,517,705,508,216
"258","08","025","Crowley County","Colorado",345,419,1209,1153,1048,739,577,368,203
"259","08","027","Custer County","Colorado",375,402,387,400,447,759,1324,742,232
"260","08","029","Delta County","Colorado",3193,3524,2948,3209,3256,4037,5365,3736,1894
"261","08","031","Denver County","Colorado",80773,72767,130661,151180,96229,74721,64177,36905,19798
"262","08","033","Dolores County","Colorado",199,235,175,214,213,280,366,264,109
"263","08","035","Douglas County","Colorado",43559,53608,37236,46919,55084,51019,35830,19806,8093
"264","08","037","Eagle County","Colorado",6019,6905,7093,8809,8487,7551,6242,3121,900
"265","08","039","Elbert County","Colorado",2674,3630,2441,2810,3445,4750,4249,2068,662
"266","08","041","El Paso County","Colorado",95405,96190,117593,106189,84305,85373,73257,42084,20007
"267","08","043","Fremont County","Colorado",4045,4415,5850,6841,6014,6518,6997,4766,2393
"268","08","045","Garfield County","Colorado",8198,8256,7379,8596,7843,7631,7200,3456,1502
"269","08","047","Gilpin County","Colorado",439,562,505,771,1022,1154,1203,463,124
"270","08","049","Grand County","Colorado",1270,1658,1861,2165,2019,2265,2803,1316,377
"271","08","051","Gunnison County","Colorado",1513,2295,3551,2411,2247,1982,2042,1046,375
"272","08","053","Hinsdale County","Colorado",70,72,86,69,81,101,154,138,49
"273","08","055","Huerfano County","Colorado",574,651,538,608,635,967,1427,988,509
"274","08","057","Jackson County","Colorado",130,126,126,163,187,211,237,145,67
"275","08","059","Jefferson County","Colorado",60250,65506,74261,89513,74856,79388,74535,43045,21527
"276","08","061","Kiowa County","Colorado",201,153,152,148,128,193,204,119,108
"277","08","063","Kit Carson County","Colorado",957,998,753,858,735,864,935,608,389
"278","08","065","Lake County","Colorado",883,908,1344,1257,1037,997,1027,467,207
"279","08","067","La Plata County","Colorado",5539,6698,6934,7994,6955,7366,8460,4439,1836
"280","08","069","Larimer County","Colorado",36666,45364,65881,47654,41224,39935,42578,25356,12241
"281","08","071","Las Animas County","Colorado",1362,1671,1721,1585,1490,1807,2356,1671,843
"282","08","073","Lincoln County","Colorado",632,623,825,861,667,741,627,441,284
"283","08","075","Logan County","Colorado",2263,2542,3530,3241,2645,2733,2610,1678,1167
"284","08","077","Mesa County","Colorado",17606,19652,19370,20180,17217,18688,21085,13193,7219
"285","08","079","Mineral County","Colorado",66,54,55,93,74,103,166,115,43
"286","08","081","Moffat County","Colorado",1909,1782,1550,1754,1526,1732,1676,926,428
"287","08","083","Montezuma County","Colorado",3058,3137,2604,3017,2798,3398,4272,2608,1291
"288","08","085","Montrose County","Colorado",4868,5059,4288,4819,4609,5437,6553,4589,2536
"289","08","087","Morgan County","Colorado",4294,3915,3871,4034,3250,3410,3164,1828,1302
"290","08","089","Otero County","Colorado",2268,2676,2088,2133,1960,2178,2382,1596,997
"291","08","091","Ouray County","Colorado",364,470,335,493,598,765,1108,637,182
"292","08","093","Park County","Colorado",1420,1702,1456,2105,2341,3506,4074,1818,423
"293","08","095","Phillips County","Colorado",532,578,419,476,433,521,566,375,365
"294","08","097","Pitkin County","Colorado",1320,1551,2209,2527,2495,2616,2760,1697,592
"295","08","099","Prowers County","Colorado",1741,1806,1505,1386,1310,1406,1532,948,538
"296","08","101","Pueblo County","Colorado",19857,22138,21591,21458,19473,20687,21715,13721,7784
"297","08","103","Rio Blanco County","Colorado",812,951,703,873,675,810,824,417,259
"298","08","105","Rio Grande County","Colorado",1334,1470,1290,1380,1225,1375,1624,1041,528
"299","08","107","Routt County","Colorado",2306,2778,3151,3802,3703,3595,3755,1882,666
"300","08","109","Saguache County","Colorado",722,865,517,646,775,990,1330,751,228
"301","08","111","San Juan County","Colorado",50,48,57,96,99,107,140,95,36
"302","08","113","San Miguel County","Colorado",692,828,1000,1270,1269,1242,1189,554,135
"303","08","115","Sedgwick County","Colorado",226,241,223,247,226,268,375,249,193
"304","08","117","Summit County","Colorado",2751,2669,4838,5456,4484,4229,4018,2079,487
"305","08","119","Teller County","Colorado",2174,2549,2220,2609,2881,4344,5219,2641,751
"306","08","121","Washington County","Colorado",579,635,524,604,508,630,714,421,293
"307","08","123","Weld County","Colorado",46514,47058,44309,49847,41281,37440,32455,17417,8171
"308","08","125","Yuma County","Colorado",1544,1418,1102,1221,1077,1182,1122,842,511
"309","09","001","Fairfield County","Connecticut",107075,128942,113328,113085,123220,141254,109676,64516,42236
"310","09","003","Hartford County","Connecticut",98299,110868,116516,117819,108621,124828,106555,66136,42078
"311","09","005","Litchfield County","Connecticut",15895,20242,19331,19274,20692,29843,28187,17490,9379
"312","09","007","Middlesex County","Connecticut",13924,18342,19427,18912,18819,26174,23467,14667,8704
"313","09","009","New Haven County","Connecticut",89659,107023,116478,109393,101349,120540,104525,65715,40075
"314","09","011","New London County","Connecticut",26684,31267,37311,32536,29835,38578,34892,21923,12180
