state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
CO,CO 08123,46514,93572,37440,32455,17417,8171
CO,CO 08125,1544,2962,1182,1122,842,511
CT,CT 09001,107075,236017,141254,109676,64516,42236
CT,CT 09003,98299,209167,124828,106555,66136,42078
CT,CT 09005,15895,36137,29843,28187,17490,9379
CT,CT 09007,13924,32266,26174,23467,14667,8704
CT,CT 09009,89659,196682,120540,104525,65715,40075
CT,CT 09011,26684,57951,38578,34892,21923,12180
CT,CT 09013,12966,34696,20769,17987,10921,5804
CT,CT 09015,11946,26666,17392,15282,8652,4685
DC,DC 11001,83545,149337,72452,61503,36974,22114
DE,DE 10001,22651,46483,23018,20870,14910,7063
DE,DE 10003,64873,135604,76967,65613,39400,21370
DE,DE 10005,23507,46825,31526,43354,31778,12963
FL,FL 12001,27697,62293,27129,27683,17219,8770
FL,FL 12003,3786,7604,3821,3090,1829,910
FL,FL 12005,20000,39407,25132,22848,14392,7693
FL,FL 12007,3021,5985,3604,3277,2352,1206
FL,FL 12009,57388,121123,89032,91225,64893,38648
FL,FL 12011,225033,451640,277488,226097,144474,87780
FL,FL 12013,1434,3078,1888,1762,1220,642
FL,FL 12015,11573,24806,25321,38024,36287,20566
FL,FL 12017,11558,24156,19788,27822,26719,13623
FL,FL 12019,25672,55475,30767,27100,16457,6902
FL,FL 12021,34097,71559,47975,55838,59766,37965
FL,FL 12023,8487,17084,9080,9316,6372,3163
FL,FL 12027,3836,8001,4469,4383,4050,2360
FL,FL 12029,1630,3368,2413,2470,1901,915
FL,FL 12031,125315,237262,122567,106013,61168,29905
FL,FL 12033,37524,77205,40131,38861,24399,12560
FL,FL 12035,9516,21238,15398,20393,17140,8127
FL,FL 12037,1009,2032,1643,1900,1428,530
FL,FL 12039,5397,10870,6305,6055,3693,1970
FL,FL 12041,2035,4352,2522,2512,1740,947
FL,FL 12043,937,2242,1781,1850,1920,979
FL,FL 12045,1368,2728,2052,2305,1665,761
FL,FL 12047,1501,3069,1869,1828,1217,600
FL,FL 12049,3755,7634,3110,2677,2094,1235
FL,FL 12051,6188,12324,5244,3856,2698,1413
FL,FL 12053,18453,38944,25902,28916,25314,13627
FL,FL 12055,9584,19671,11940,15894,18075,11782
FL,FL 12057,180210,362142,190193,154489,95228,48379
FL,FL 12059,2116,4334,2654,2548,1734,987
FL,FL 12061,13207,27893,21058,27184,25116,14950
FL,FL 12063,4716,9797,5933,5941,4307,2454
FL,FL 12065,1262,2606,2152,2265,1602,785
FL,FL 12067,789,1899,1004,929,648,356
FL,FL 12069,36843,76141,46731,52272,47542,25197
FL,FL 12071,71621,148490,98204,115487,108251,56817
FL,FL 12073,30193,71273,30392,29620,18150,8501
FL,FL 12075,4425,8841,5830,6562,4984,2194
FL,FL 12077,748,1607,1069,903,568,270
FL,FL 12079,1839,3755,2473,2576,1768,870
FL,FL 12081,38275,79654,54039,61669,52577,29689
FL,FL 12083,36686,74190,45005,54126,52255,26598
FL,FL 12085,13600,28758,22554,25435,23040,15423
FL,FL 12086,307356,612328,384312,288500,192295,127150
FL,FL 12087,6418,12387,11879,11693,8315,3597
FL,FL 12089,9424,19117,12556,13636,9594,3942
FL,FL 12091,27000,51127,26521,24806,15222,7915
FL,FL 12093,5060,9881,5386,4985,3912,2246
FL,FL 12095,168934,345144,172919,130762,74985,38298
FL,FL 12097,48230,100548,45955,35692,23224,10769
FL,FL 12099,153068,316016,198367,185728,159150,116360
FL,FL 12101,59834,123431,74776,71062,59326,31541
FL,FL 12103,83544,171663,145700,148538,108906,68471
FL,FL 12105,85455,176873,87057,86141,69643,36049
FL,FL 12107,8587,17217,10229,11280,8155,3945
FL,FL 12109,28905,63377,37175,36178,25576,11431
FL,FL 12111,34151,70760,43645,45873,37702,20631
FL,FL 12113,21306,43998,26111,22198,13899,6046
FL,FL 12115,31453,67979,56476,75691,74309,47571
FL,FL 12117,51622,108311,63582,53086,33227,17920
FL,FL 12119,5147,10274,11304,30125,42451,15651
FL,FL 12121,4940,10268,5792,6157,4376,2429
FL,FL 12123,2373,4637,2730,2836,2099,1046
FL,FL 12125,1647,3332,2319,1672,1073,509
