state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
Florida,Florida 12101,59834,123431,74776,71062,59326,31541
Florida,Florida 12103,83544,171663,145700,148538,108906,68471
Florida,Florida 12105,85455,176873,87057,86141,69643,36049
Florida,Florida 12107,8587,17217,10229,11280,8155,3945
Florida,Florida 12109,28905,63377,37175,36178,25576,11431
Florida,Florida 12111,34151,70760,43645,45873,37702,20631
Florida,Florida 12113,21306,43998,26111,22198,13899,6046
Florida,Florida 12115,31453,67979,56476,75691,74309,47571
Florida,Florida 12117,51622,108311,63582,53086,33227,17920
Florida,Florida 12119,5147,10274,11304,30125,42451,15651
Florida,Florida 12121,4940,10268,5792,6157,4376,2429
Florida,Florida 12123,2373,4637,2730,2836,2099,1046
Florida,Florida 12125,1647,3332,2319,1672,1073,509
Florida,Florida 12127,52572,109813,76696,83866,62533,34358
Florida,Florida 12129,3619,7643,4826,4121,2552,936
Florida,Florida 12131,8423,16329,10925,11069,6946,2876
Florida,Florida 12133,2700,5592,3588,3033,2130,865
Georgia,Georgia 13001,2483,4931,2369,2256,1534,717
Georgia,Georgia 13003,1168,2346,1039,897,553,238
Georgia,Georgia 13005,1540,3095,1335,1344,802,405
Georgia,Georgia 13007,313,651,441,484,309,172
Georgia,Georgia 13009,4391,11238,5556,5315,3341,1605
Georgia,Georgia 13011,2233,4709,2737,2335,1728,620
Georgia,Georgia 13013,11559,23213,10350,8149,4938,2037
Georgia,Georgia 13015,13657,28116,15085,11909,7358,2997
Georgia,Georgia 13017,2172,4478,2165,2176,1348,635
Georgia,Georgia 13019,2424,5083,2679,2276,1570,773
Georgia,Georgia 13021,20769,41907,18513,17438,10736,5771
Georgia,Georgia 13023,1353,3485,1722,1365,1000,622
Georgia,Georgia 13025,2333,4858,2766,2355,1457,698
Georgia,Georgia 13027,1826,3659,2285,2124,1507,626
Georgia,Georgia 13029,6257,12572,4385,3307,1926,803
Georgia,Georgia 13031,8834,22433,8055,7104,4174,1883
Georgia,Georgia 13033,3084,6295,2975,2836,1584,703
Georgia,Georgia 13035,2828,5654,3391,2790,1792,860
Georgia,Georgia 13037,519,1172,806,664,442,284
Georgia,Georgia 13039,7700,14522,6316,5653,3764,1385
Georgia,Georgia 13043,1411,2936,1374,1327,968,387
Georgia,Georgia 13045,15188,33160,14593,12294,7556,3478
Georgia,Georgia 13047,7713,16769,9231,8128,5680,2746
Georgia,Georgia 13049,1384,2735,1746,1418,994,501
Georgia,Georgia 13051,34256,69730,34355,32470,20695,10365
Georgia,Georgia 13053,1704,3069,512,380,238,155
Georgia,Georgia 13055,3001,6118,3251,3097,1988,1015
Georgia,Georgia 13057,31544,68179,36636,28427,18198,6534
Georgia,Georgia 13059,12844,31378,11276,10875,6296,3087
Georgia,Georgia 13061,301,610,350,486,357,174
Georgia,Georgia 13063,44399,89005,35930,26722,12259,4431
Georgia,Georgia 13065,911,1806,832,785,525,214
Georgia,Georgia 13067,94274,196596,102113,76962,43600,18973
Georgia,Georgia 13069,5928,11745,5405,4351,2811,1215
Georgia,Georgia 13071,6335,12856,5587,4887,3252,1719
Georgia,Georgia 13073,20854,42939,19614,16555,9843,4407
