Location,fips,location_indicator,city_geolocation,county_geolocation
"California, Pleasanton",California 06001,0,"(37.6656092171, -121.880775002)","(37.6466, -121.886)"
"Washington, Auburn",Washington 53053,0,"(47.3038544325, -122.210810557)","(47.023, -122.102)"
"North Carolina, Jacksonville",North Carolina 37133,0,"(34.7331103037, -77.3951822819)","(34.7374, -77.4342)"
"Indiana, Muncie",Indiana 18035,0,"(40.1987098324, -85.3942940148)","(40.2275, -85.3969)"
"Arkansas, Springdale",Arkansas 05007,0,"(36.1869932598, -94.1536274531)","(36.3392, -94.2573)"
"New Jersey, Passaic",New Jersey 34017,0,"(40.8574581109, -74.1281123174)","(40.7409, -74.0778)"
"California, Lynwood",California 06037,0,"(33.9239616867, -118.201648375)","(34.3203, -118.2252)"
"California, Union City",California 06001,0,"(37.6028390812, -122.018966106)","(37.6466, -121.886)"
"California, Apple Valley",California 06037,0,"(34.5315984948, -117.211012664)","(34.3203, -118.2252)"
"California, Redlands",California 06059,0,"(34.0511315317, -117.170935294)","(33.703, -117.7605)"
"Illinois, Palatine",Illinois 17097,0,"(42.1180663695, -88.042989882)","(42.3231, -88.0036)"
"California, Turlock",California 06099,0,"(37.5052158271, -120.858762412)","(37.5592, -120.9978)"
"Iowa, Waterloo",Iowa 19013,0,"(42.4919736932, -92.3521759342)","(42.4701, -92.3085)"
"California, Perris",California 06059,0,"(33.7897346094, -117.223291831)","(33.703, -117.7605)"
